molecule_name,pEC50
CNP0399539,4.731948498
CNP0333021,4.731985393
CNP0362542,4.732657103
CNP0458985,4.733793759
CNP0254986,4.734165163
CNP0363092,4.734389538
CNP0207769,4.734604317
CNP0256036,4.734723529
CNP0226303,4.735302629
CNP0381797,4.736467811
CNP0260822,4.7373518
CNP0406516,4.73880443
CNP0436186,4.738879027
CNP0257755,4.739451277
CNP0230498,4.739880619
CNP0263183,4.741356594
CNP0364810,4.74137421
CNP0030678,4.742116403
CNP0343209,4.7431015
CNP0080631,4.743298706
CNP0080632,4.743298706
CNP0456085,4.743522231
CNP0266848,4.743534279
CNP0475229,4.743750806
CNP0228863,4.74401678
CNP0247953,4.74401678
CNP0294182,4.744311689
CNP0234314,4.744749086
CNP0341377,4.744749086
CNP0427944,4.744749086
CNP0294746,4.745168473
CNP0366107,4.745721259
CNP0364477,4.746230353
CNP0212474,4.746492287
CNP0322597,4.746492287
CNP0358412,4.746492287
CNP0282770,4.746623507
CNP0189468,4.747405897
CNP0208240,4.747405897
CNP0302577,4.747405897
CNP0224145,4.747485576
CNP0243529,4.747528675
CNP0085355,4.748014881
CNP0085353,4.748014881
CNP0340029,4.748245358
CNP0077661,4.748497444
CNP0077659,4.748497444
CNP0206275,4.748497444
CNP0328229,4.748592132
CNP0324669,4.74897389
CNP0331831,4.749341591
CNP0322956,4.749378088
CNP0418359,4.749565149
CNP0285842,4.749881059
CNP0191147,4.750516787
CNP0322464,4.750648456
CNP0243129,4.751024102
CNP0206382,4.751042044
CNP0079490,4.75119875
CNP0079910,4.75119875
CNP0079491,4.75119875
CNP0079910,4.75119875
CNP0346221,4.75119875
CNP0264442,4.751347487
CNP0462866,4.751347487
CNP0079866,4.751424839
CNP0079866,4.751424839
CNP0207683,4.751522779
CNP0333414,4.751578099
CNP0304485,4.751783366
CNP0270541,4.751859862
CNP0366109,4.752127646
CNP0197730,4.752297436
CNP0438547,4.752775314
CNP0223882,4.752978933
CNP0281714,4.753275079
CNP0184825,4.753430679
CNP0202072,4.753446888
CNP0202608,4.753446888
CNP0204379,4.753446888
CNP0281419,4.753446888
CNP0077706,4.75361811
CNP0077707,4.75361811
CNP0247203,4.753629668
CNP0293686,4.753630247
CNP0241656,4.753664841
CNP0290207,4.753676061
CNP0285233,4.754409928
CNP0365548,4.754452736
CNP0099551,4.754669113
CNP0245108,4.75549601
CNP0271147,4.75549601
CNP0333179,4.756379342
CNP0103309,4.756587558
CNP0227981,4.756610445
CNP0432043,4.757971799
CNP0477032,4.759077738
CNP0458830,4.759077738
CNP0307141,4.759080755
CNP0281661,4.76068347
CNP0332364,4.760723432
CNP0223918,4.76112271
CNP0277753,4.76112271
CNP0415666,4.76112271
CNP0191399,4.761133995
CNP0277481,4.761145427
CNP0190963,4.761672007
CNP0424620,4.761741616
CNP0478652,4.762171
CNP0285910,4.762238804
CNP0202863,4.762589065
CNP0337743,4.762764652
CNP0424637,4.763404001
CNP0398895,4.764241309
CNP0104607,4.76426335
CNP0220575,4.76500785
CNP0283696,4.765031818
CNP0189227,4.765653326
CNP0476361,4.765842979
CNP0185133,4.766287772
CNP0104726,4.766363078
CNP0420262,4.767109177
CNP0267667,4.767513334
CNP0355943,4.767570724
CNP0197042,4.767617807
CNP0401978,4.767657571
CNP0373906,4.767659985
CNP0394512,4.767666932
CNP0294279,4.767668745
CNP0352642,4.767668821
CNP0209372,4.767677639
CNP0300212,4.767677639
CNP0220655,4.767981851
CNP0191228,4.768135252
CNP0287174,4.768135252
CNP0308219,4.768614833
CNP0248448,4.769396293
CNP0244363,4.769556921
CNP0219151,4.769595139
CNP0426225,4.769619278
CNP0451885,4.769619278
CNP0272351,4.769654727
CNP0213572,4.769698707
CNP0243806,4.76992392
CNP0235376,4.770659928
CNP0312134,4.770931616
CNP0311483,4.770937364
CNP0317573,4.771281348
CNP0468953,4.771740096
CNP0269275,4.771818834
CNP0285727,4.772199645
CNP0218626,4.77237663
CNP0014776,4.772378251
CNP0315154,4.772531077
CNP0293574,4.772938482
CNP0355241,4.772938482
CNP0078737,4.77322788
CNP0078739,4.77322788
CNP0078737,4.77322788
CNP0078738,4.77322788
CNP0313233,4.773231573
CNP0273089,4.773277597
CNP0225791,4.77333673
CNP0266232,4.773357796
CNP0220091,4.773889928
CNP0314949,4.774247972
CNP0078661,4.774373783
CNP0078661,4.774373783
CNP0321974,4.774422127
CNP0323849,4.774422127
CNP0347455,4.774548818
CNP0329069,4.774629709
CNP0379101,4.774827567
CNP0092573,4.775200084
CNP0248489,4.775200084
CNP0309061,4.775200084
CNP0323919,4.775202637
CNP0399215,4.775212763
CNP0309910,4.775656314
CNP0216477,4.775748919
CNP0385381,4.775842175
CNP0211598,4.776233774
CNP0078182,4.776342181
CNP0078182,4.776342181
CNP0181916,4.776342181
CNP0220795,4.776342181
CNP0434690,4.776342181
CNP0473520,4.7766157
CNP0227184,4.776632786
CNP0205253,4.776975397
CNP0265601,4.776975397
CNP0194005,4.777033278
CNP0378085,4.777057436
CNP0027862,4.777175275
CNP0455222,4.777340567
CNP0271743,4.778342924
CNP0307207,4.778444496
CNP0417679,4.778695597
CNP0202151,4.778905227
CNP0213327,4.778905227
CNP0224020,4.778905227
CNP0284564,4.778905227
CNP0387563,4.778905227
CNP0303264,4.779185656
CNP0243474,4.779208845
CNP0346296,4.77952251
CNP0090119,4.779845017
CNP0204100,4.779923142
CNP0283596,4.779923142
CNP0307637,4.78005747
CNP0276774,4.780261988
CNP0292672,4.780690243
CNP0211394,4.780746523
CNP0319037,4.780826261
CNP0321398,4.780902273
CNP0323608,4.780944293
CNP0207464,4.781144079
CNP0323885,4.781247118
CNP0229301,4.781293782
CNP0312231,4.781362567
CNP0329705,4.781390593
CNP0094440,4.781696488
CNP0321439,4.782078739
CNP0209176,4.782119896
CNP0078088,4.782516892
CNP0078089,4.782516892
CNP0254340,4.782882456
CNP0295676,4.783191208
CNP0446604,4.783191208
CNP0327092,4.783206317
CNP0217304,4.783528504
CNP0218314,4.784471242
CNP0005515,4.784601925
CNP0331565,4.784788689
CNP0266065,4.785036373
CNP0091234,4.785060083
CNP0344705,4.785060083
CNP0230269,4.78517404
CNP0282338,4.785236775
CNP0010261,4.785256351
CNP0010224,4.785256351
CNP0288826,4.785293599
CNP0211555,4.785547153
CNP0295186,4.785814516
CNP0200554,4.785946208
CNP0199579,4.786188421
CNP0322613,4.786374999
CNP0269460,4.786487608
CNP0358180,4.786654221
CNP0283639,4.786798139
CNP0275401,4.787152351
CNP0216212,4.787189065
CNP0303041,4.787189065
CNP0031332,4.78731995
CNP0260232,4.787409581
CNP0385971,4.787855199
CNP0195510,4.78794838
CNP0086553,4.788642741
CNP0275067,4.788642741
CNP0086554,4.788642741
CNP0430530,4.788794609
CNP0198593,4.78881904
CNP0234250,4.788823062
CNP0289912,4.78899518
CNP0183647,4.789370814
CNP0077223,4.789433936
CNP0077223,4.789433936
CNP0002450,4.789607988
CNP0287823,4.789691506
CNP0290324,4.789691506
CNP0310845,4.789750862
CNP0218557,4.789865671
CNP0255856,4.790055189
CNP0300668,4.790075141
CNP0347183,4.790089978
CNP0227348,4.790472373
CNP0319582,4.791224132
CNP0183140,4.791276823
CNP0469473,4.791289902
CNP0476803,4.791364441
CNP0459282,4.791364441
CNP0277680,4.791528887
CNP0455292,4.791967139
CNP0475646,4.791967139
CNP0212776,4.792359122
CNP0373035,4.792424379
CNP0322116,4.79242484
CNP0276512,4.792476855
CNP0223362,4.792557472
CNP0382159,4.792557472
CNP0387102,4.7925984
CNP0408286,4.7925984
CNP0346110,4.792948999
CNP0348682,4.793214022
CNP0197364,4.793328729
CNP0339491,4.79343246
CNP0441881,4.79365582
CNP0197360,4.79375426
CNP0206411,4.79375426
CNP0362941,4.79375426
CNP0462476,4.79375426
CNP0354850,4.793910437
CNP0193440,4.793916471
CNP0365113,4.794393301
CNP0233977,4.794451007
CNP0272107,4.794901841
CNP0278676,4.794959087
CNP0190609,4.795075719
CNP0224558,4.795075719
CNP0348304,4.795075719
CNP0276121,4.795215955
CNP0241965,4.795325985
CNP0103113,4.795466105
CNP0312468,4.795633774
CNP0209685,4.795800353
CNP0427381,4.795826426
CNP0420354,4.795835276
CNP0289899,4.795989523
CNP0274023,4.796087703
CNP0325258,4.796087703
CNP0018789,4.796259895
CNP0293060,4.796743733
CNP0425577,4.796910491
CNP0311129,4.797249395
CNP0182063,4.797351823
CNP0315354,4.797351823
CNP0355632,4.797394212
CNP0223477,4.797612843
CNP0303788,4.797742303
CNP0476676,4.797979229
CNP0278149,4.798433151
CNP0275555,4.798737133
CNP0103884,4.798748487
CNP0191370,4.798748487
CNP0253603,4.798796032
CNP0246360,4.79887357
CNP0274669,4.79887357
CNP0288447,4.79887357
CNP0338740,4.79887357
CNP0363418,4.79887357
CNP0385786,4.79887357
CNP0386444,4.79887357
CNP0386844,4.79887357
CNP0387041,4.79887357
CNP0393764,4.798892059
CNP0371231,4.798932093
CNP0323236,4.799183278
CNP0201081,4.799184903
CNP0217760,4.799217332
CNP0302875,4.799304161
CNP0429087,4.799359588
CNP0326096,4.799404277
CNP0217408,4.799424358
CNP0336344,4.799439303
CNP0245423,4.799474069
CNP0274390,4.79977571
CNP0211433,4.799839133
CNP0293354,4.799839133
CNP0005548,4.800008687
CNP0326397,4.800131797
CNP0242885,4.800138237
CNP0372546,4.800138237
CNP0306330,4.800337175
CNP0332032,4.800597092
CNP0319378,4.800729598
CNP0326392,4.800729598
CNP0387213,4.800752633
CNP0095334,4.800830769
CNP0199127,4.801004936
CNP0328811,4.801243501
CNP0291309,4.801414025
CNP0288777,4.801813173
CNP0302913,4.80194572
CNP0219640,4.80200344
CNP0270195,4.80200344
CNP0264900,4.802047236
CNP0432555,4.802249623
CNP0372990,4.802521774
CNP0355789,4.802659475
CNP0443009,4.802659475
CNP0271703,4.802757156
CNP0235036,4.802795075
CNP0085893,4.802931919
CNP0085892,4.802931919
CNP0335175,4.802964715
CNP0198564,4.802969871
CNP0078920,4.802990688
CNP0078920,4.802990688
CNP0221161,4.803289297
CNP0230846,4.803484178
CNP0260481,4.803738413
CNP0374221,4.803738413
CNP0328068,4.803783759
CNP0196137,4.80420977
CNP0220609,4.80420977
CNP0185073,4.804256623
CNP0203514,4.804382597
CNP0328602,4.804512748
CNP0282403,4.804968904
CNP0183887,4.805253183
CNP0428346,4.805253183
CNP0268496,4.80546095
CNP0291139,4.80563297
CNP0435696,4.805642762
CNP0427813,4.805901985
CNP0308511,4.805954181
CNP0239252,4.806237467
CNP0248689,4.806556288
CNP0301563,4.806937943
CNP0314207,4.806996175
CNP0385172,4.806996175
CNP0264125,4.807037087
CNP0201982,4.807096968
CNP0189247,4.80733481
CNP0274277,4.80738624
CNP0307505,4.807664423
CNP0310967,4.807772934
CNP0434073,4.807908493
CNP0217291,4.808064527
CNP0192811,4.808122091
CNP0305658,4.808153416
CNP0465109,4.808223486
CNP0391284,4.808313335
CNP0336000,4.808374723
CNP0018533,4.808430347
CNP0271768,4.808681593
CNP0077677,4.808795036
CNP0077677,4.808795036
CNP0316061,4.808859475
CNP0300360,4.808956314
CNP0430502,4.808958941
CNP0233069,4.809055779
CNP0276938,4.809055779
CNP0370528,4.809055779
CNP0233574,4.809067298
CNP0216865,4.809094605
CNP0212826,4.809102983
CNP0284148,4.809674702
CNP0270384,4.809874867
CNP0276333,4.810095184
CNP0284626,4.810124751
CNP0351180,4.810256559
CNP0104965,4.810417712
