O=C(OC1CC(=C2C(=O)C(Cl)=C(C)C2C3OC(=O)C(=C)C13)C)C(=CC)C CNP0009571
O=C(C=CC1=CC=C(OC)C=C1)C2=CC=C(C=C2)NC(=O)C CNP0009840
O=C(OCC)C1=C(OC=2C(=O)C=C(OC2C1C=3C(Cl)=CC=CC3Cl)CO)N CNP0009848
O=C(OCCOCC)C1=C(NC2=C(C(=O)CCC2)C1C3=CC(Cl)=C(O)C(OC)=C3)C CNP0010224
O=C(OCCOC)C1=C(NC2=C(C(=O)CCC2)C1C3=CC(Cl)=C(O)C(OC)=C3)C CNP0010261
O=C(OCCOC)C=1C=2C=C(O)C=3C=CC=CC3C2N(C4=CC=C(C(Cl)=C4)C)C1C CNP0010454
O=C1C=2C=C(C(=C(O)C2C(=O)C=3C(OC4OC(CO)C(O)C(O)C4O)=CC(OC)=CC13)CNC)CCC5=CN=C(N)C=C5 CNP0010478
O=C(OC)CC1CCNCC1CCN(CC)CC CNP0010505
O=C(O)C1=CC=CN=C1SCC(=O)NC2=CC(OC)=C(OC)C=C2CC3=NC=CC=4C=C(OC)C(OC)=CC43 CNP0010811
O=C(OC)C1=CCCC(=CC2OC(=O)C(=C)C2C(OC(=O)C(C)CC)C1)CO CNP0010812
O=C1OC=2C=C(C=CC2C(=C1)CN3CCN(CC=4C=CC=C(Cl)C4)CC3)C CNP0010883
O=C1C(=CC2C(CC=C(CO)C(O)C3C(O)C(C)CC13O)C2(C)C)C CNP0012129
O=C(NC1=CC=C(Cl)C=C1)N2CC=3N=CNC3CC2C4=NC(=NO4)C(C)C CNP0012258
O=C(OC1CCC2(C)C3C(=O)C=C4C5CC(C(=O)NCC=6C=CC=CC6)(C)CCC5(C)CCC4(C)C3(C)CCC2C1(C)C)C CNP0013858
O=C(OC1CCC2(C)C3C(=O)C=C4C5CC(C(=O)NC6=CC=C(N=NC=7C=CC=CC7)C=C6)(C)CCC5(C)CCC4(C)C3(C)CCC2C1(C)C)C CNP0013909
O=C(O)C(C)CC(=O)CC(C)C1CC(=O)C2(C=3C(=O)CC4C(C(=O)CCC4(C3C(=O)C(O)C12C)C)(C)C)C CNP0014776
O=C1C2=CC=CN=C2OC3CN(CCCC=4C=CC=CC4)CC3N1C CNP0016105
O=C(O)C(C)(C)C1(O)CCC2(OC=3OC(C)CC(=O)C3CC2C1(C=C)C)C CNP0016791
O=CC1=C(O)C(=C(O)C(Cl)=C1C)CC=C(C)C(OC2OC(CO)C(O)C(O)C2NC(=O)C)CC3(C)C(C(=O)CCC3C)C CNP0017010
O=C(O)C=1C=CC=CC1C(=O)OCCC(C)C CNP0017352
O=C(O)C=1C=CC=CC1C(=O)OCC(O)(C)C CNP0017353
O=C(O)C=1C=CC=CC1C(=O)OCC(C)CCCCC(C(=O)O)C CNP0017354
